,text,created_at,Clean Tweet
0,"YouTube reportedly testing Picture in Picture for its iOS app
https://t.co/5wUKwtGjBU https://t.co/smxjxLwFfH",2020-08-28,YouTube reportedly testing Picture in Picture for its iOS app
1,"@hildebrand030 @TheRyader Correct, and we talked about it then. 

Now it's done.",2020-08-28,Correct and we talked about it then Now it s done
2,"RT @Andrew_OSU : New photo comparison! We got the #iPhone11Pro, #GalaxyNote20, and #GalaxyNote20Ultra! Which do you think is the best overall? 

https://t.co/fA89OSMH9W",2020-08-28,RT OSU New photo comparison We got the iPhone11Pro GalaxyNote20 and GalaxyNote20Ultra Which do you think is the best overall
3,"Apple is paying $9.75M to settle Powerbeats2 class action lawsuit
https://t.co/WVyo4L6qvG https://t.co/uKdHYRo4YB",2020-08-28,Apple is paying 9 75M to settle Powerbeats2 class action lawsuit
4,"#Apple has terminated #EpicGames' developer account, cutting off its access to both iOS and macOS development tools. https://t.co/pnXyWfnXLi https://t.co/QfWBseOaME",2020-08-28,Apple has terminated EpicGames developer account cutting off its access to both iOS and macOS development tools
5,"#Facebook CEO Mark Zuckerberg took aim at Apple's #AppStore on Thursday, calling the platform a deterrent to innovation and competition. https://t.co/qEI8P6cUMp https://t.co/w0J2xD1SnT",2020-08-28,Facebook CEO Mark Zuckerberg took aim at Apple s AppStore on Thursday calling the platform a deterrent to innovation and competition
6,"Apple TV+ series 'Invasion' restarts production under new COVID-19 safety protocols
https://t.co/bqu58RvXhQ https://t.co/hgktPsN2cn",2020-08-28,Apple TV series Invasion restarts production under new COVID 19 safety protocols
7,"Apple holds sales on iTunes content every week, and this week we highlight 80 movies under $5 alongside the latest release #BillAndTed3. https://t.co/RbkTE26odq https://t.co/aCwubLwHhu",2020-08-28,Apple holds sales on iTunes content every week and this week we highlight 80 movies under 5 alongside the latest release BillAndTed3
8,"Review: SanDisk Extreme Pro CFExpress card reader is perfect for photographers with the latest cameras
https://t.co/S7RpGSg4i7 https://t.co/7aiTWtZm8e",2020-08-28,Review SanDisk Extreme Pro CFExpress card reader is perfect for photographers with the latest cameras
9,A new suite of privacy features in #iOS14 has media outlets and digital publishers preparing and bracing for a dramatic drop in advertising revenue. https://t.co/XGtFWuDTWh https://t.co/f3xAyZ1yTK,2020-08-28,A new suite of privacy features in iOS14 has media outlets and digital publishers preparing and bracing for a dramatic drop in advertising revenue
10,"Check out the new, lower price on #Apple's 16-inch #MacBookPro. This model is loaded with upgrades! https://t.co/fmq2wXX3Tk https://t.co/ll7lYHC8d9",2020-08-28,Check out the new lower price on Apple s 16 inch MacBookPro This model is loaded with upgrades
11,What #Apple's #PowerPC to #Intel transition can tell us about #AppleSilicon release dates and which #Macs will come first – or last. https://t.co/2HyznN8zlj https://t.co/K1dd1vDYuo,2020-08-28,What Apple s PowerPC to Intel transition can tell us about AppleSilicon release dates and which Macs will come first or last
12,"Future Apple Watch may anticipate workouts when you change bands
https://t.co/Oiuxgk3N1g https://t.co/VKjGeids1J",2020-08-28,Future Apple Watch may anticipate workouts when you change bands
13,A new study says that #Apple #iPhone users are more likely to get a match than Android owners on popular dating apps -- and you have almost no hope if you use Blackberry. https://t.co/NpZe8Mw5Qq https://t.co/WBIeadC7ke,2020-08-28,A new study says that Apple iPhone users are more likely to get a match than Android owners on popular dating apps and you have almost no hope if you use Blackberry
14,The Chinese Foreign Ministry has gone on record saying that the Chinese will have no reason to keep the #iPhone and other #Apple products if popular app #WeChat is banned. https://t.co/bsZSfyo1SN https://t.co/QBLjtxoWjx,2020-08-28,The Chinese Foreign Ministry has gone on record saying that the Chinese will have no reason to keep the iPhone and other Apple products if popular app WeChat is banned
